date,total_market_value,cash_balance,total_asset_value,shares,nav,strategy_yield,strategy_yield_daily,strategy_drawdown,profit_loss,benchmark_price,benchmark_yield,benchmark_yield_daily,benchmark_drawdown
2024-07-10,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3428.9657,0.0,0.0,0.0
2024-07-11,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3468.169,0.0114329810881455,0.0114329810881455,0.0
2024-07-12,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3472.4014,0.012667289147861638,0.0012203557554433253,0.0
2024-07-15,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3476.2467,0.013788706022926922,0.001107389255170732,0.0
2024-07-16,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3498.2827,0.0202151336771903,0.006339020760523173,0.0
2024-07-17,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3501.5836,0.02117778547624427,0.0009435772586359192,0.0
2024-07-18,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3520.931,0.026820128296996426,0.005525328597038248,0.0
2024-07-19,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3539.0156,0.03209419680109371,0.005136311958399586,0.0
2024-07-22,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3514.9249,0.02506855055447188,-0.00680717541906295,-0.00680717541906295
2024-07-23,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3439.8779,0.003182359041969951,-0.021350954041720827,-0.028012789771257318
2024-07-24,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3418.1663,-0.0031494628248980305,-0.0063117356578267225,-0.03414771610500966
2024-07-25,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3399.2716,-0.008659783327666482,-0.005527729882539578,-0.039486686636815094
2024-07-26,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3409.2931,-0.005737181914651446,0.0029481315938391095,-0.03665496699138604
2024-07-29,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3390.742,-0.01114729727392727,-0.005441333278150773,-0.041896848377837026
2024-07-30,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3369.3821,-0.017376551768948922,-0.006299476633728096,-0.04793239679418204
2024-07-31,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3442.0844,0.003825847543473593,0.021577339061663592,-0.027389311310184628
2024-08-01,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3419.2666,-0.0028285788918799293,-0.006629064644667171,-0.033836810439603626
2024-08-02,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3384.3919,-0.0129991968131965,-0.01019946792098625,-0.043691160897962766
2024-08-05,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3343.3205,-0.024976977751629437,-0.01213553312191784,-0.05529647848966823
2024-08-06,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3342.9789,-0.025076599628861884,-0.00010217387175404102,-0.05539300250612067
2024-08-07,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3341.489,-0.025511103829355952,-0.00044568034814695956,-0.05581399528162578
2024-08-08,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3342.9369,-0.025088848220324866,0.0004333098208613162,-0.05540487021306151
2024-08-09,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3331.6274,-0.02838707310487254,-0.0033831030433151277,-0.05860053287134426
2024-08-12,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3325.8645,-0.03006772567016347,-0.001729755254143872,-0.060228923545858404
2024-08-13,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3334.3903,-0.027581319929796955,0.0025634838701336093,-0.05781983554975012
2024-08-14,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3309.2389,-0.03491630143748603,-0.0075430281811941224,-0.06492672708196034
2024-08-15,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3341.953,-0.025375786057002636,0.009885687007970434,-0.055682885376374225
2024-08-16,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3345.634,-0.024302284505208105,0.0011014517559044812,-0.054642765632341384
2024-08-19,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3356.9677,-0.020997002098912754,0.003387609045101714,-0.05144026491434506
2024-08-20,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3332.7034,-0.028073275856915214,-0.007228040948979109,-0.05829649352209698
2024-08-21,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3321.635,-0.031301187993802326,-0.003321147630479082,-0.061424029891249954
2024-08-22,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3313.1357,-0.033779865456222025,-0.002558770003326827,-0.06382562992940755
2024-08-23,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3327.1905,-0.029681020139688208,0.004242144383038715,-0.059854243083867775
2024-08-26,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3324.2231,-0.030546412289863434,-0.0008918635707814149,-0.060692724835685996
2024-08-27,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3305.3338,-0.0360551579737296,-0.0056823201788112065,-0.06603016951945628
2024-08-28,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3286.4956,-0.041549001204648994,-0.005699333604369916,-0.07135317515978168
2024-08-29,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3277.6812,-0.04411957226635432,-0.0026820057206223824,-0.07384381125644102
2024-08-30,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3321.4323,-0.031360302029267983,0.013348186516736193,-0.061481305705462286
2024-09-02,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3265.011,-0.047814622350990654,-0.016987038995194936,-0.07742395936316304
2024-09-03,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3273.4282,-0.04535988796854995,0.0025780005029079067,-0.07504555786643052
2024-09-04,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3252.1649,-0.05156097070320653,-0.006495728239892196,-0.08105381055681127
2024-09-05,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3257.7578,-0.04992989577002771,0.0017197467446989911,-0.07947345583896281
2024-09-06,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3231.3457,-0.05763253916479838,-0.008107447398330248,-0.08693657637451513
2024-09-09,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3192.9516,-0.06882953072408982,-0.01188176802005425,-0.09778538416162963
2024-09-10,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3195.7552,-0.06801190808062041,0.0008780590347814421,-0.09699318646688082
2024-09-11,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3186.1299,-0.07081896444750091,-0.0030119015373893943,-0.09971295407683434
2024-09-12,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3172.4747,-0.07480127316525798,-0.004285826513225288,-0.1035714281677651
2024-09-13,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3159.247,-0.07865890871990944,-0.004169521036684776,-0.10730910595590493
2024-09-18,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3171.0102,-0.07522836988424819,0.003723418903301967,-0.10398524380621554
2024-09-19,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3196.0357,-0.0679301049876353,0.007891964522851236,-0.09691392713838287
2024-09-20,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3201.0497,-0.06646785647345499,0.0015688185210196437,-0.09549714898120265
2024-09-23,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3212.7639,-0.06305160766116735,0.0036594870738808627,-0.09218713248961097
2024-09-24,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3351.909,-0.022472286614007242,0.04331009197407876,-0.052869673702483855
2024-09-25,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3401.533,-0.008000284167322014,0.014804697860234306,-0.038847695387384085
2024-09-26,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3545.3204,0.03393288535957062,0.04227135235789281,0.0
